IMG,OBJ,FILT,MJD,SEE,AIRM,EXPTIME,DATE-OBS
h_e_20241024_61_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60608.018687,1.54955,1.517783,90.0,2024-10-25T00:26:54.560
h_e_20241028_21_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60611.960416,2.562001,1.826855,60.0,2024-10-28T23:02:59.925
h_e_20241028_29_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60612.062508,1.754504,1.423235,120.0,2024-10-29T01:30:00.716
h_e_20241028_30_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60612.064342,1.515699,1.429354,120.0,2024-10-29T01:32:39.115
h_e_20241029_10_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60613.087455,1.950147,1.463956,120.0,2024-10-30T02:05:56.102
h_e_20241029_11_1_1_9.fits,ZTF24abjjpbo,SDSS-G,60613.091495,1.770775,1.473745,120.0,2024-10-30T02:11:45.131
h_e_20240926_70_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60580.052164,1.226578,1.78435,60.0,2024-09-27T01:15:06.970
h_e_20240927_64_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60581.044021,1.222534,1.837331,60.0,2024-09-28T01:03:23.391
h_e_20240928_94_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60582.042914,1.0682,1.820832,60.0,2024-09-29T01:01:47.769
h_e_20240929_45_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60583.04263,3.067495,1.796911,60.0,2024-09-30T01:01:23.272
h_e_20240930_112_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60584.036086,1.412628,1.834674,60.0,2024-10-01T00:51:57.795
h_e_20241001_63_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60585.046497,2.146537,1.715814,30.0,2024-10-02T01:06:57.305
h_e_20241003_180_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60587.011212,2.63537,2.039028,30.0,2024-10-04T00:16:08.725
h_e_20241003_206_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60587.077818,3.120128,1.511156,30.0,2024-10-04T01:52:03.474
h_e_20241004_119_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60588.022133,1.430137,1.866823,30.0,2024-10-05T00:31:52.314
h_e_20241004_159_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60588.076004,1.201639,1.5079,30.0,2024-10-05T01:49:26.781
h_e_20241005_138_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60589.083654,1.013501,1.475851,30.0,2024-10-06T02:00:27.738
h_e_20241006_89_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60590.003137,1.709433,2.037337,30.0,2024-10-07T00:04:31.047
h_e_20241006_115_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60590.068939,1.214169,1.513657,30.0,2024-10-07T01:39:16.335
h_e_20241007_81_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60591.071282,1.530738,1.49618,30.0,2024-10-08T01:42:38.745
h_e_20241008_56_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60592.079332,3.682088,1.466172,30.0,2024-10-09T01:54:14.283
h_e_20241009_76_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60593.069117,0.8521944,1.486015,30.0,2024-10-10T01:39:31.716
h_e_20241010_79_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60594.097426,1.093582,1.43115,30.0,2024-10-11T02:20:17.602
h_e_20241011_81_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60595.056949,1.500328,1.507709,30.0,2024-10-12T01:22:00.378
h_e_20241012_7_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60596.076212,1.877185,1.450141,30.0,2024-10-13T01:49:44.719
h_e_20241013_139_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60597.090074,1.435833,1.430625,30.0,2024-10-14T02:09:42.400
h_e_20241016_29_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60600.047881,1.290811,1.492465,60.0,2024-10-17T01:08:56.886
h_e_20241017_42_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60601.053727,1.928317,1.468668,90.0,2024-10-18T01:17:21.995
h_e_20241018_37_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60602.044634,1.212477,1.485729,90.0,2024-10-19T01:04:16.370
h_e_20241018_63_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60602.181948,1.619983,1.818606,60.0,2024-10-19T04:22:00.307
h_e_20241019_65_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60603.125147,1.602216,1.491893,90.0,2024-10-20T03:00:12.671
h_e_20241021_44_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60605.044843,1.70688,1.463862,90.0,2024-10-22T01:04:34.404
h_e_20241022_69_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60606.035685,2.021549,1.480113,90.0,2024-10-23T00:51:23.187
h_e_20241023_76_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60607.093101,1.518464,1.443814,90.0,2024-10-24T02:14:03.936
h_e_20241024_63_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60608.026443,1.249958,1.491207,90.0,2024-10-25T00:38:04.687
h_e_20241028_33_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60612.069537,1.664842,1.432606,120.0,2024-10-29T01:40:07.969
h_e_20241028_34_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60612.072971,1.446827,1.435646,120.0,2024-10-29T01:45:04.727
h_e_20241029_14_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60613.09677,1.144001,1.488639,120.0,2024-10-30T02:19:20.961
h_e_20241029_15_1_1_9.fits,ZTF24abjjpbo,SDSS-I,60613.102429,1.821168,1.506992,120.0,2024-10-30T02:27:29.831
h_e_20240926_69_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60580.05119,1.191508,1.793401,60.0,2024-09-27T01:13:42.801
h_e_20240927_63_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60581.043049,1.38469,1.847536,60.0,2024-09-28T01:01:59.406
h_e_20240928_93_1_1_9.fits,ZTF24abjjpbo,SDSS-R,60582.041943,1.277262,1.830593,60.0,2024-09-29T01:00:23.833
